num levels,relative error
10,1.065806287554042
20,1.0604874968347178
30,1.0602459744690682
40,1.0600953120940637
epsilon_m factor,relative error
0.1,0.7601913758830493
0.075,0.6530978325389742
0.05,0.6038420976963812
0.025,0.5849750007768706
0.0125,0.5812989878817785
0.001,0.5714408630679442
0.0001,0.5568947713158702
